,championId,pickTurn,teamId,metadata.matchId
163,11,4,100,LA1_1091497685
164,25,5,100,LA1_1091497685
165,161,6,200,LA1_1091497685
166,45,7,200,LA1_1091497685
167,11,8,200,LA1_1091497685
168,145,9,200,LA1_1091497685
169,875,10,200,LA1_1091497685
170,122,1,100,LA1_1091474783
171,9,2,100,LA1_1091474783
172,157,3,100,LA1_1091474783
173,35,4,100,LA1_1091474783
174,360,5,100,LA1_1091474783
175,25,6,200,LA1_1091474783
176,11,7,200,LA1_1091474783
177,39,8,200,LA1_1091474783
178,80,9,200,LA1_1091474783
179,117,10,200,LA1_1091474783
180,875,1,100,LA1_1091481949
181,25,2,100,LA1_1091481949
182,82,3,100,LA1_1091481949
183,518,4,100,LA1_1091481949
184,89,5,100,LA1_1091481949
185,234,6,200,LA1_1091481949
186,44,7,200,LA1_1091481949
187,517,8,200,LA1_1091481949
188,122,9,200,LA1_1091481949
189,18,10,200,LA1_1091481949
190,11,1,100,LA1_1091360765
191,26,2,100,LA1_1091360765
192,25,3,100,LA1_1091360765
193,122,4,100,LA1_1091360765
194,84,5,100,LA1_1091360765
195,240,6,200,LA1_1091360765
196,238,7,200,LA1_1091360765
197,32,8,200,LA1_1091360765
198,84,9,200,LA1_1091360765
199,55,10,200,LA1_1091360765
200,18,1,100,LA1_1091318931
201,89,2,100,LA1_1091318931
202,11,3,100,LA1_1091318931
203,875,4,100,LA1_1091318931
204,84,5,100,LA1_1091318931
205,131,6,200,LA1_1091318931
206,18,7,200,LA1_1091318931
207,11,8,200,LA1_1091318931
208,111,9,200,LA1_1091318931
209,82,10,200,LA1_1091318931
210,6,1,100,LA1_1091345644
211,11,2,100,LA1_1091345644
212,74,3,100,LA1_1091345644
213,17,4,100,LA1_1091345644
214,111,5,100,LA1_1091345644
215,18,6,200,LA1_1091345644
216,36,7,200,LA1_1091345644
217,11,8,200,LA1_1091345644
218,63,9,200,LA1_1091345644
219,90,10,200,LA1_1091345644
220,90,1,100,LA1_1091342881
221,122,2,100,LA1_1091342881
222,89,3,100,LA1_1091342881
223,121,4,100,LA1_1091342881
224,11,5,100,LA1_1091342881
225,89,6,200,LA1_1091342881
226,55,7,200,LA1_1091342881
227,11,8,200,LA1_1091342881
228,36,9,200,LA1_1091342881
229,51,10,200,LA1_1091342881
230,99,1,100,LA1_1091288871
231,360,2,100,LA1_1091288871
232,517,3,100,LA1_1091288871
233,75,4,100,LA1_1091288871
234,82,5,100,LA1_1091288871
235,157,6,200,LA1_1091288871
236,11,7,200,LA1_1091288871
237,67,8,200,LA1_1091288871
238,25,9,200,LA1_1091288871
239,-1,10,200,LA1_1091288871
240,33,1,100,LA1_1091274118
241,90,2,100,LA1_1091274118
242,89,3,100,LA1_1091274118
243,122,4,100,LA1_1091274118
244,111,5,100,LA1_1091274118
245,157,6,200,LA1_1091274118
246,84,7,200,LA1_1091274118
247,111,8,200,LA1_1091274118
248,32,9,200,LA1_1091274118
249,18,10,200,LA1_1091274118
250,50,1,100,LA1_1091259013
251,-1,2,100,LA1_1091259013
252,6,3,100,LA1_1091259013
253,25,4,100,LA1_1091259013
254,36,5,100,LA1_1091259013
255,84,6,200,LA1_1091259013
256,420,7,200,LA1_1091259013
257,11,8,200,LA1_1091259013
258,77,9,200,LA1_1091259013
259,25,10,200,LA1_1091259013
260,62,1,100,LA1_1090842204
261,25,2,100,LA1_1090842204
262,238,3,100,LA1_1090842204
263,11,4,100,LA1_1090842204
264,36,5,100,LA1_1090842204
265,114,6,200,LA1_1090842204
266,53,7,200,LA1_1090842204
267,18,8,200,LA1_1090842204
268,238,9,200,LA1_1090842204
269,141,10,200,LA1_1090842204
270,36,1,100,LA1_1090830076
271,84,2,100,LA1_1090830076
272,45,3,100,LA1_1090830076
273,25,4,100,LA1_1090830076
274,11,5,100,LA1_1090830076
275,33,6,200,LA1_1090830076
276,17,7,200,LA1_1090830076
277,157,8,200,LA1_1090830076
278,84,9,200,LA1_1090830076
279,53,10,200,LA1_1090830076
280,90,1,100,LA1_1090797382
281,202,2,100,LA1_1090797382
282,55,3,100,LA1_1090797382
283,36,4,100,LA1_1090797382
284,13,5,100,LA1_1090797382
285,36,6,200,LA1_1090797382
286,89,7,200,LA1_1090797382
287,84,8,200,LA1_1090797382
288,11,9,200,LA1_1090797382
289,25,10,200,LA1_1090797382
290,25,1,100,LA1_1090813518
291,84,2,100,LA1_1090813518
292,89,3,100,LA1_1090813518
293,36,4,100,LA1_1090813518
294,64,5,100,LA1_1090813518
295,63,6,200,LA1_1090813518
296,75,7,200,LA1_1090813518
297,36,8,200,LA1_1090813518
298,121,9,200,LA1_1090813518
299,67,10,200,LA1_1090813518
300,35,1,100,LA1_1090758677
301,238,2,100,LA1_1090758677
302,24,3,100,LA1_1090758677
303,235,4,100,LA1_1090758677
304,106,5,100,LA1_1090758677
305,238,6,200,LA1_1090758677
306,89,7,200,LA1_1090758677
307,11,8,200,LA1_1090758677
308,82,9,200,LA1_1090758677
309,887,10,200,LA1_1090758677
310,15,1,100,LA1_1090783330
311,121,2,100,LA1_1090783330
312,36,3,100,LA1_1090783330
313,11,4,100,LA1_1090783330
